xorg,This is the graphical user interface (display server)
xorg-xinit,Used to start the display server
zathura,A general document viewer (minimalist)
zathura-pdf-mupdf,Allows zathura to view PDF documents
nsxiv,A simple (x) image viewer
mpv,Use this to watch your videos/movies
eza,An ls alternative for colors
xclip,Your system clipboard
xdotool,Useful tool to automate keypresses
xwallpaper,Make your desktop look nice
picom,Enables transparency
firefox,The default browser
libnotify,Enables notifications to appear
brightnessctl,Adjusts screen brightness
dunst,A specific notification daemon for libnotify
pipewire,Main program for sound and volume
pipewire-pulse,Compatibility for pulse applications
pipewire-alsa,Comapatibility for alsa applications
pulsemixer,If you want to visualize the sound system
wireplumber,Utility to adjust the volume
sof-firmware,Sound firmware - enables the mic too
alsa-utils, Advanced Linux Sound Architecture Utilities
bluez,Bluetooth application
bluez-utils,Tools for bluetooth
bluez-runit,Bluetooth service for runit
yt-dlp,To download videos (conveniently)
ttf-liberation,The system's default font family
noto-fonts-emoji,Emoji characters for modules
ncmpcpp,A terminal music client for mpd (use alongside mpd and mpc)
mpd,This is a simple daemon for playing music (use with ncmpcpp and mpc)
mpc,Command-line client for mpd (use with ncmpcpp and mpd)
maim,If you want to take a screenshot
polkit,Authentication tool for permissions
openssh,For remote login and network services
arandr,Tool for screen connecting (e.g. HDMI)
bc,A calculator in your terminal
lxappearance,Set a GTK theme for your system
transmission-cli,A terminal client used to download torrents
lf,File manager written in go (ranger replacement)
ueberzugpp,Display image previews
ffmpeg,A media converter
ffmpegthumbnailer,Generates video file thumbnails
imagemagick,The best command-line tool for images
poppler,Image previews for PDF files
bat,Renders color highlights for text files
lm_sensors,Gets the CPU temperature
zsh,The Z Shell (more options than bash)
zsh-syntax-highlighting,As its name suggests
